name,model,url
CineMate Series 2 Digital Home Theater Speaker System,323023,https://www.bose.com/en_us/support/products/bose_home_theater_support/bose_2_speaker_home_theater_support/cinemate_series2.html
Lifestyle 901 Music System,176226,https://www.bose.com/en_us/support/products/bose_home_theater_support/bose_2_speaker_home_theater_support/ls901.html
Lifestyle 235 System 2,753272,https://www.bose.com/en_us/support/products/bose_home_theater_support/bose_2_speaker_home_theater_support/ls_235.html
Lifestyle 650 Home Entertainment System,799905,https://www.bose.com/en_us/support/products/bose_home_theater_support/bose_5_speaker_home_theater_support/lifestyle-650-home-theater-system.html
Lifestyle 600 Home Entertainment System,799911,https://www.bose.com/en_us/support/products/bose_home_theater_support/bose_5_speaker_home_theater_support/lifestyle-600-home-theater-system.html
Lifestyle V25 Home Entertainment System,348139,https://www.bose.com/en_us/support/products/bose_home_theater_support/bose_5_speaker_home_theater_support/lsv25.html
Lifestyle V30 Home Entertainment System,316799,https://www.bose.com/en_us/support/products/bose_home_theater_support/bose_5_speaker_home_theater_support/lsv30.html
Lifestyle V20 Home Theater System,316799,https://www.bose.com/en_us/support/products/bose_home_theater_support/bose_5_speaker_home_theater_support/lsv20.html
Lifestyle T20 Home Theater System,348130,https://www.bose.com/en_us/support/products/bose_home_theater_support/bose_5_speaker_home_theater_support/lst20.html
Lifestyle V10 Home Theater System,316799,https://www.bose.com/en_us/support/products/bose_home_theater_support/bose_5_speaker_home_theater_support/lsv10.html
Lifestyle T10 Home Theater System,348139,https://www.bose.com/en_us/support/products/bose_home_theater_support/bose_5_speaker_home_theater_support/lst10.html
Lifestyle 48 Series 4 DVD Home Entertainment System,314478,https://www.bose.com/en_us/support/products/bose_home_theater_support/bose_5_speaker_home_theater_support/ls48_series4.html
Lifestyle 48 Series 3 DVD Home Entertainment System,294789,https://www.bose.com/en_us/support/products/bose_home_theater_support/bose_5_speaker_home_theater_support/ls48_series3.html#v=ls48_series3_black
Lifestyle 48 DVD Home Entertainment System,274482,https://www.bose.com/en_us/support/products/bose_home_theater_support/bose_5_speaker_home_theater_support/ls48_series1.html
Lifestyle 535 Series 3 Home Entertainment System,720422,https://www.bose.com.au/en_au/support/products/bose_home_theater_support/bose_5_speaker_home_theater_support/lifestyle-535-series-iii-home-entertainment-system.html
Lifestyle SoundTouch 535 Entertainment System,753272,https://www.bose.com/en_us/support/products/bose_home_theater_support/bose_5_speaker_home_theater_support/lifestyle-soundtouch-535-entertainment-system.html
Lifestyle 525 Series 3 Home Entertainment System,372633,https://www.bose.com/en_us/support/products/bose_home_theater_support/bose_5_speaker_home_theater_support/lifestyle-525-series-iii-home-entertainment-system.html
Lifestyle 525 Series 2 Home Entertainment System,735964,https://www.bose.com/en_us/support/products/bose_home_theater_support/bose_5_speaker_home_theater_support/ls525_ii.html
